user_id,message
85RT,Was too expensive and was using as part of homeschool curriculum. As an add on it just wasn't cost effective \n
66JN,Was too expensive as part of an add on to our curriculum.\n
54SX,Was too expensive as part of an add on to our curriculum 
95FR,Cant afford and will not explain to you!!!!! I disagee that you are requiring fifty characters
63MO,Anooooooooooooooooyyyyyyyyyyyyyyyyyyyyyinnnnnnnnnnnnnnnnnnnnng to have to fill this out!
96YV,—————————————————————————————————————————————-ddddddddddddddddddddddddddd
28JF,Total price was not clear when ordering. I okayed $6.99/year not $79.99.
27XG,"Very good app, however too expensive for an occasional use, but lots of different games and level which is good as adaptable for different ages."
65CL,Children are too old now for the math provided in the app.\n\n
62PQ,My child is not using the app. My child is not using the app. My child is not using the app. My child is not using the app\n
34PH,Please calcellllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll
37GJ,Please cancel subscription. .........................................................................
10SE,Cancellllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll
68MZ,Please cancel subscription. Parents didn't authorize.
87GJ,Didn’t like the app didn’t help for my kid learning 
78GR,The subscription price is too high.
56US,"Costs too much, not really much more to say except dont want to spend that much on a game.  Hope this is 50 characters"
92IQ,My son is scared of the hippo. Does not like playing i t.
23ME,Not worth money when i have other apps that do the same 
12PM,Too expensive. This is silly that I have to provide 50 characters. 
97OQ,Kid is too young to use this learning app. Will have to cancel since it's not suitable for him.
36VD,It was Difficult to sink with kuds ipads. I ciukf upload it on different devices \n
29HL,The program is crazy hard to manage. It is impossible to figure out the login. 
18DQ,"Its a great program, but my children arent using it as often as the should. "
13EB,"Its a great program, but my children don't use it as often as they should. "
89DG,Cancel subscription
37HF,"My child did not like the app, she was feeling a little bit frustrated so I decided not to continue with this."
73IG,Prefers to do exercises in books rather then an application\n
49ZS,Nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
61ZK,Noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
98HL,"Dont want it anymore, dont need it anymore, my daughter doesnt play it or like it or use it or plays it or likes it "
70ZA,Great but too much money. Try $30.  Also try to minimize screen time. 
86AY,"It was great, just didn’t want to spend that much for the app.\n"
19SB,The sequencing she doesnt understand to pick the wrong one or right one 
14IQ,My child no longer uses Splash Math.
70PO,Please let us know the reason so that we can improve Splash Math (Minimum 50 characters).
65KL,Not enough use by kids so it became a wasted of money\n\n Thank you\n
82PL,My child no longer uses Splash Math.
92BE,I dont want to pay for something my kids dont want to play. It was nice during the summer months but not something they play during the school year.
67YS,It’s expensive to use.monthly is I think too much money.i didn’t like it now I have to provide the reason before canceling or it won’t let me move ahead to cancel it.
49PJ,It’s too expensive for an app. I would like to cancel
77PM,"Not required the children did not engage with it, we will try them again after holidays"
61HG,Cannot afford at this time. The app is great and we will revisit.
28GP,My child no longer uses Splash Math.
35MQ,Dont need it cause level of difficulty is lower than what i needed
40ZQ,"Simply wanted to check it out. If/when I get funding, I can buy it and use it in my classroom. Thanks!"
29AI,"Not needed anymore, we are using a different method right now. This has been great but we are not going to use it any more"
82EF,I don't want to pay a yearly fee for an app.\nThank you\n
27KB,Child not using.......................................................................
64UI,Child does not like app and we would like to cancel at this time.
36ZC,Do not want a monthly fee. More of a pain go get all the payments every month then just a one time fee.\n\n
81LS,My kid didnt like it need something more to play with 
59OW,"Not what my son expected, he has honors class and was looking for extra help but thought it was to easy or to much common sense "
74BB,I can't afford any paid products right now.
43YQ,It was for my foster son and he is leaving our home.
19VO,El precio de suscripción es demasiado alto.
99GU,Cancellation Cancellation CancellationCancellation Cancellation CancellationCancellation Cancellation CancellationCancellation Cancellation Cancellation
30JJ,Too expensive for the little time my daughter use the application 
50JJ,Price too high for the little time my daughter use the app 
67KZ,App is great Lil one just got another way of getting help. You guys are great keep it up
49VO,Jjjjjjjjjjjjjjjjjjjjhhhhhhhhhhhhhhhhuuuuuuuuuuuuuuuuiiiiiiiiiiiiiiiiiiiiiiooooooooooooooooooo
60YR,I did not get approval from school board to fund the program in my class
57WU,Did not get approval from school board to use. ............................................\n\n
29TI,"Not with monthly price, shouldnt have to pay that much "
13JQ,I would keep this if it wasnt so expensive and gave you unlimited access to all levels. Rip off.
53IO,"Too expensive, wasn't what i was looking for. Thanks for the trial. "
27EG,"Please cancel my subscription. I would be willing to make a one time payment for this app, but it is not worth an ongoing subscription price. Thanks."
14IP,Not planning to use.dddddkiashnsbhshesbdjdjdbdjdjndnfbfbbfbbdbdbdbbdjdjdndbndjdndndndnndndndnejje
84QP,Not using subs currently would like to save money delete please thank you
53HX,It was my grandson that added this on my iPad for his enjoyment. I have no need for the app. Thank you.
73ZM,"Daughter doesnt use enough, may renew again later as she gets further along in math\n"
67AK,Not using... AsaaaaaaaAaaaaaaaaaaaaAaaaaaaaaSssssssssDdddddddFfffffffYyyyyyyyyyyybhhhhhhjjjjjjjjjjj
48IK,i do not want this app any more i do not like it i think its overpriced and bolloks i need to write and let u know why your product is not suitable for me
16IG,"Love the app, but need to clean up my space on my iPad, so getting rid the grandchildren's apps and letting the parents get them."
39NI,"I like the app for my grand daughter,  but she is 4, so a little more than we need at this time. I will definitely loo into it again when she is a little older.\nThank you"
41KU,"I sent a message a couple days ago about cancel my subscription. I DO NOT want the app bill pedi to my account. It is to much for my granddaughter at this point. PleaAe cancel if you have not already done so!,,"
12ZU,My child no longer uses Splash Math.
26OT,"I really don't like this app. It shouldn't be so expensive. Hopefully my daughter can learn another way for cheaper. It sucks! Plus, it wasn't worth the amount being charged. I would suggest that there be a cheaper version as an alternative to the original price!. Perhaps also adding better background layouts to help keep the children entertained. I do believe that it would be greatly appreciated."
40DT,I bought accidentially..........................I bought accidentially..........................I bought accidentially..........................\n
81XZ,Don't like ....................Don't like ....................Don't like ....................Don't like ....................
59EO,Don't like ....................Don't like ....................Don't like ....................Don't like ....................\n\n
82VS,It would if you end of summer post test to see improvement 
88WN,Please add in post test at the end of the summer for better assessment. 
36EZ,I did it by mistake bla bla bla \nBla bla bla bla bla bla bla bla bla
38PM,Abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
94QK,No need for it. I was using it as a test run for some second graders. The school found some free programs.
58XW,I don't like the app.i think it's too expensive. So I feel sad about it. Thanks for the chance.
21XE,Not worth the money. Regular flash cards work just as well
48TI,Wanted a different multiplication practice for my daughter. 
65CC,I am nor using this program right now and please cancel my subscription. Thank you.
66LF,We are looking for word peoblem for our child. The math here is to simple for her
66UP,Not pleased. I need word problem solving for my child. The math here is to simply for her
69TW,Njkkikmkkmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmnnnnnnnnnnnnnnnnnnnn
95SC,Too Expensive!!! \nGood use of showing progress for kids to feel accomplished. \nDid not get to see many exercises with more advanced problems\n
99JU,Monthy fee rather than annual. More options for addition and math facts. \n
87CO,"Dont have enough money to continue to pay for the app. Great app, wish it was cheaper."
57ZO,What a fucking rip off u guys are. Im going to give you the worst review. 
73RE,Not needed now
81QJ,"Lijlijjkbve,j kjfbevkjnliherviuhhwbrfliliwrhvhkjbhkvwjyevfo\nJlnkjwbvwekjmdfbj"
96LK,Most games are hard for my 4years old girl. Will subscribe when she is older
77OM,My child no longer uses Splash Math.
15IR,My kid is not interested in the program and she prefers to use other games
60XH,I am looking for a solution which teaches too.
20VF,Did not want yearly subscription. Did not want to pay for whole year up front
74RB,Please let us know the reason so that we can improve Splash Math (Minimum 50 characters).
37ZF,"The program is actually very good. However, at this moment I don't have the money to pay for it. Therefore I have to unsubcribe. I just wanted to try the 7 days trial. Thanks "
66SN,Saving money for other bills around our household. App worked great just cutting back right now.
48OO,Didn’t click with child. Will likely try again in future.
66MW,My son don't like the music\n\nAnd the u give the answers like choices and the u don't teach is like guessing \n
75NB,Rrrrrrrrrrrrrrrrfuturyufkuyrofulfukfgnduyrrogoutitxryeatjfvjhlbiutmdhuftyiukm
20SS,"Ggghjjkbffrfghjk,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm"
12ND,Ttyyyyyyhnnmuiktvtdreiutfiuyfjycyulduykydulxthcgujrngfukckfhyth
73RI,Bguuinmkollpihfdsryhtrxytjfiruykdkuyfilyfiutctijyj
10JM,I don't know why I need to fill this before to cancel \n    This is.   So taking forever     I don't like it this is the2nd time I do this\n
58VX,Not using it. Thougt it was free. Did not authirize. 
75RB,We don't do common core style math at the private school we attend.\n\n
70HG,My grandson was unable to read the instructions. Therefore he was unwilling to try some of the activities. I wanted it to be fun. 
25NI,He liked it.  His mother does not want him to use eletronic devices too much
58LL,My students have not really enjoyed playing on it so it is not worth the charge at this time \n
88VB,My child no longer uses Splash Math.
88AZ,To much for this app. Will find another math app for son.
61ZM,"We appreciate this app very much, we just want to cancel for now, thank you!\n"
41HE,I shouldn't have to write a 50 word minimum to cancel this subscription. That is what's wrong with this app. Also while my daughter starts off playing these math games within 5 min she's trying to get on YouTube so I'd rather she not use the iPad at all.
11FQ,The subscription price is too high.
19XS,Dont need it
62LD,Had no idea it was gonna bill me 79.99$.  Cancel now.  Do not want something so expensive 
66GV,Everything looked great but it is expensive.  Thank yiu for letting us try. 
30KH,Couldn’t get my child interested.                                                            !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
86SJ,Too expensive to keep the subscription. Like it otherwise
85DG,Not hAppy with the games so prefer not to continue it
74VH,Cancelllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll\n
97WT,App gets boring child isn't interested repeat questions need to improve by adding more variety because child gets bored easily overall good app but just needs improvement will try again in the future
69MM,"The math repeats and get boring for my child. She loses interest after a couple questions.You can improve the app with more variety............"".....""..............\n"
24PZ,Not using the app. My kid does not play with it...................
79OM,No specific reason its just too much money for me to pay at once
60TC,My children no longer play and I can no longer afford the subscription.\n
91JS,My children no longer play this game and I can no longer afford the subscription. 
87FD,"She doesn’t really like the game. We dont use it. I dont want to pay for something she doesnt use willingly.  I want something like the game times attack, but I can’t find it and that game isn’t available anymore. "
48OG, To much money!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
34QW,I can't afford any paid products right now.
91HH,"Pricey for what it is      \n\nsgjmhdg,kaushdkjch,kausdckjvasjdhcjasvdc\n"
44XJ,My child hates the app.
66LR,I can't afford any paid products right now.
22KS,My child no longer uses Splash Math.
88SP,"Free trial over\nTttttttttt,,,,,,,,,,,,,, m,,...........""..........."
15GL,"Thanks. Just too much, maybe a onetime payment would be a better option."
74FO,Can't afford right now but it is a very good app\nI will definitely get it soon
18SV,"Not interested in it, only played once during the trial"
56CR,We Cant afford it right now...............………………maybe we can another time
65SB,We cannot afford to pay the extra money. Its not really what i was looking for
71JM,We are in school and we dont have the time or the funds to contine using this app. Plua its on my phone and i want it for me\nNot the kids
28GM,Just needed simple multiplcTion. This is too much. Thank you. 
32OJ,My child no longer uses Splash Math.
14JX,I can't afford any paid products right now.
16TQ,Kids aren’t playing it anymore. Too expensive to not use.
62OC,"Too expensive so cancelling, should b alot less than it is"
39CM,Its so expensive and i cant afford it that why i want to can\n A ell it
48YX,This subscription is too expensive for us right now.
51MO,The yearly subscription is too much for us to spend right now.
79IF,Too expensive i thought it was a one time purchase 
85ML,Im not interested as my son isnt interested\n Gghjhgthnbffbnjgffbnjfgbnnmmnggfghnnnjhhgggbnjg
49VX,My son is not interested. Maybe in the future. Thank you!———————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————                                                            \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
65TW,Not used enough by grandkids so not worth subscription price. 
58AI,She's not interested in using the app regularly......
60VM,This application was hard to navigate and use. Our child didnot enjoy it.
33LS,Can’t afford the monthly subscriptions because it is too expensive.\n
49ED,Can’t afford the monthly subscription because it’s too expensive\n
24CU,Subscription is too expensive and I can’t afford it.\n
90SB,The subscription cost is very expensive and I can’t afford it.
41AM,The subscription cost is too expensive and I cant afford it.
41CM,"Expensive and too much for the contents , thank you\n\n\n\n"
37OZ,Too expensive. I would sign up if the price is cheaper
57LG,Everything is in imperial. As we live in the 21st century with the rest of the world (excluding the USA) we use the metric system. 
27ZX,Not being used much. Not what i expected. Grandson isnt excided to use it. Doesnt keep his interest
91AM,Does not keep the interest of my grandson. He doesnt want to use it. He dors good eith math but does not get excited sboht using this app.
67WM,Price. As a single parent i cannot afford $10 a month on an app. Ill just keep using workbooks or cheaper apps
14OR,I am looking for a solution which teaches too.
36KA,My child no longer uses Splash Math.
94DK,My child is not using the app. I would like to cancel it I do not have money to waste.
78GA,Not interested and the charge is t within my budget
48IE,"I accidentally signed up twice.  Since I do not want to be charged twice,I am canceling this one."
96LO,My kids don't use it enough to keep it and pay this much
29QX,Not using it enough to make it financially viable  ooooooooo
42XF,Not using it enough to make it financially viable 00000000000
51KH,Please let us know the reason so that we can improve Splash Math (Minimum 50 characters).
52VY,Kid not interested in the application. Other apps are more interesting
44DM,Kid not interested. In the application. Found it too complicated
21RS, I am going\nTo download this on qnother device in our house 
94ZR,Too expensive to pay for every month.                   \n
92OZ,Thanks it is so expensive \n--------------------------------\n\n\n\n\n\n\n\n
91QI,doesnt work for fractions for 3rd grade makes us upgrade 
83JD,we have to upgrade to work fractions for the 3rd grade. 
60TR,is not letting us use the fractions with out upgrading again not wortj the time 
10EH,Signed in error uyyionnmnnjkjnjjikjjjijjjjj juju juiced 
77NV,Stopped regularly using it\n\n............................................................
32TV,I find this app to expensive for my daughter as she won’t be using it all the time
59WT,I find this too expensive to pay for as my daughter won’t be using this all the time\n\n
87FP,I find this app too expensive for my daughter as she will not be on it all the time 
21OS,I find this app too expensive as my daughter will not be on it all the time 
49PH,I find this app too expensive to pay for as my daughter won’t be using this all the time
49QU,My daughter doesn’t find it that engaging. Perhaps she’s not ready for computer math. She prefers dot to dot numbers and coloring book math kimono style at this point.
54HL,"I’m looking for something basic, simpler for a third grader."
72GV,"My child is a super genius and has outgrown it, but we think Splash Math is fantastic! Keep up the good work! "
38UY,No longer interested and engaged. Thanks so much. It was good while it lasted.\n
18FB,We are using a free app provided by childs school instead
64ZW,I did not like the ap. Too hard for mu preeschooler to navigate
72GP,I change my mind for now. Still thinking about it.  Will try another time.
56AZ,We no longer need this for the additonal support at school like we previous thought
19VY,Just wanted to test it out! Will purchase in the future if needed.
98XG,Cant afford this app right now. Thank you very much. Would like my money back. 
62AV,I can't afford any paid products right now.
31YX,I am looking for a solution which teaches too.
66KC,My son is too young for this app . Everything about this app is wonderful.just need him to be a little older to use it 
48RU,Abcdefghijklmnopqrstuvwxyz Abcdefghijklmnopqrstuvwxyz
25DS,My child no longer uses Splash Math.
68HA,I no longer need it.  I only wanted my son to try it out.  \n
95FJ,Hoping this cancellation went through\nPlease send email confirming
14XG,Looking for regular multiplication facts\nNot what I am looking for\n\n
78QW,My son never uses it so we decided not to pay for this for a whole year
14WN,My son never uses this so we have decided not to use this 
59RA,I did not purchase this my daughter did without my permission. I would like to cancel and get my money back. She said she only used the app one time.
92PI,We do not need this app anymore and would just like to cancel it so we are not charged for this app anymore
63AS,Money has been taken from our bank account and they took money twice already and we want to cancel our subscription.
27LC,We cancelled before and it had taken money from our bank account so we want to end our subscription.
65AE,I just wanted to see will it benefit my son.  It didn’t keep my sons attention. 
23ZO,Dont play plus it is a little pricey. There are alot of free games avaiable 
94HU,The difficulty of the levels weren't as described (much too easy) and the questions were very repetetive (even taking into account repetition aiding learning).
79GL,Expensive subscription do not want to payxxxxxxxxxxxxxxxxxxxx
11JJ,Child didn’t like it mmmmmmmmmmmmmmmmmmmmmmmmmmmmm
44BA,Child doesnt want to play he is not interested. Thank you I only wanted to try out the game to see if he would like this game.
17AA,Make it free bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
49VK,Kids say its boring and have no interest.  Sadly it just wasnt as interesting and fun as id hoped it would be for them.
94MF,Not using it.  We prefer ixl.  I think it is illegal to require 50 characters before allowing to cancel subscription. Your app isn't as good as IXL. Is that 50 characters?
53LU,No longer needed. Did not plan on keeping it this long but missed cancel date last year.\n\n
98EN,No longer needed the math app. Did not mean to renew in the first place\n
12YL,"Cost too much, dont need the app enough to pay $25 a month"
97AI,We are not interested any longer in this application \nThank you very much\n\n\n
76SD,The subscription price is too high.
76HV,We may come back but as of now I want to cancel. 7 days wasn’t enough time for a trial\n
58FD,We found another app for free that has just as good math problems for our son
96VJ,We like the program but for personal reasons we must cancel
70PE,"We like the program but for personal reasons, we need to cancel."
86JM,We like the program but for personal reasons we must cancel.
39QG,my son is four years old. it is difficult for him.
50FD,it is too difficult for my son.he is four years old
98YU,"It is too expensive, not worth the price for the activities"
74CE,In India this is too expensive. Please let us know the price beforehand. 
65PE,Im just finish the trial run ill think about subscribing again soon
61EO,My son has lost interest and dont want to waste money. Hes already way ahead in math and wants to focus on other things now. 
59WQ,I can't afford any paid products right now.
74DY,"Child doesn't like and doesn't use. Please cancel, thank you. "
93HW,I cant afford it as Im on benefits. I have learning difficulties and also my 8 year old son. I will be able to pay half of the subscription but not full. Im sad I have to cancel.
61AV,Free trial ended and im on benefits. I also have a child who is 8 years old and still finds it very hard to do maths.
23NE,Its a shame you dont do half price for special needs parents on benefits who also have special needs children. I can afford to pay half the subscription but not full. I am sad I have to cancel.
49EI,Haven’t used it enough to evaluate. My son is not showing enough intereset at the moment. 
20EX,Have not been able to use fully to give a full evaluation. My child is not currently showing enough interest 
51PF,Haven’t had enough time to get my children started so can’t fully evaluate
38LJ,Children not interested and its american based in teaching we are in the uk
91XF,My son passed his multiplication tables and h wont be practicing daily anymore. 
70OY,"It's my right to cancel this for any reason I choose, and it doesn't have to be 50 characters. We don't use it. Period. "
22OR,"Never used it, so it's not worth a monthly fee. Why do I need to give 50 characters to cancel this? That fully makes up my mind. "
35JS,too expensive and you are annoying this is just making me more upset having to write 50 characters
61RH,i have been trying to cancel for 10 min now and it isn't working. You are crooks you are crooks you are crooks
80RM,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhuhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
98LS,like trying to get your child to eat vegetables by embedding them in a Twinkie. 
43KK,Don’t want yo pay monthly fee. Now mad that i have to give you 50 characters to cancel. 
30XQ,The subscription price is too high.
31ZX,"Not being used enough\nThanks for the great app.             ......""....................."
34HY,.................................................................................................................................................................\n
30ME,Son was bored after 10 mins. Repetitve questions. Too low for his level. 
31PX,This app is too expensive for us to continue. There are many others available for free or reduced fee. 
48HQ,Cancel cancel cancel cancel cancel cancel\nHer school provides a free account. \nCancel cancel cancel cancel cancel
11RK,Not happy with app... not happy with format....to complicated
52JE,Too complicated not happy with the settings. Period.
47DA, I don’t use too many times does the racing I just want to cancel he thank you
91GI,My son wasnt as interested in this app compared to another we tried.  Thank you for the free trial
42RI,"Don,t like i the app would like to find a better app that my kids will better enjoy \n\n"
51OU,Too expensive nonportuguese language. And nothing more
30XB,Using paper books to help study math problems. Too expensive.
87XT,We need a timer in between work time and the play time and more creative things as rewards\n
24FD,Too much fee for the service rendered. It needs a timer .between play and work time. He liked the games for a short time but quickly tired of the set up
62DF,We would like a timer between work time and play time. With more creative stuff as a reward once the obtain a new level. \n\n\n\nWe enjoyed the free trial but are not interested in a monthly fee.  \n
99HV,Too expensive for us. Thank you ttttttttttttttttttttttttttttttttttttttttt
86DL,Just didnt use it and i did not sant to pay for it.
28JO,My daughter did not play with this app as much as I expected her to\n
92IX,Our child doesn’t use the app enough to justify the subscription cost.  I also don’t like being charged automatically. It’s also way too difficult to manage the subscription including cancellation.
79RF,"Our child doesn’t use the app enough for the price of the subscription. Also, I hate being charged automatically."
75PQ,Not used enough for cost. I hate being charged automatically. Way too difficult to manage and cancel subscription. 
52QL,Child didn’t use app enough to make it worth the money. I also don’t like money being charged automatically. 
49IF,Our child doesn’t use the app enough for the cost of the subscription. I also don’t want automatic charges on my charge card.
19YX,Too expensive for us at this time\nSimilar apps with one time pay
20VP,"There’s no problem... it’s just me... i do not have financial backup at the moment... when i do, I will be back "
74XP,"There is no improvements, we don't have time to use it\n\n"
82WD,"Too expensive, otherwise good app. Supply and demand! Lower cost equals more players"
84YE,Tooooooooooooooooooo exemsice too expensive. Too long explaination to cancel
46GX,This is an American app. We are Australian We do cents and dollars not dimes and pennies. Completely useless for us 
95FZ,We tried it out and decided that we would not like to spend the money. Thanks anyway. 
97PK,My 8 yera old enjoyed the app but it should be a free app. 
48ZW,Don’t use this is ridiculous that I need to provide fifty characters 
95RE,Couldnt switch over to ipad once on phone. This made it hard to do since I (parent) had the phone at most times. 
69ED,Not what i was looking for\nI needed something i could specify 
25BS,Triyfmgdmy mhckgxkgxkyxkhuclhxkgxkggxkgxktzkyxlkyfkyxkhhckgdktsitdkhhckgxutxkgnckyfoyfiroufohclugluf
26IC,It's not being used by my children and we do not want to pay monthly for something that they are not using.
21ZG,I think the app is great but it is Too expensive. Why do I have to have a minimum of 50 characters to cancel this subscription?
91IB,I think it is a great app but it is too expensive. I would like to have this for my sons to use but cannot spend $10/month for it.
32YH,My child no longer uses Splash Math.
25YZ,Son downloaded without premission sorry zzzzzzzzzzzzzzzzzzzzzzzzzzzz
70UJ,"Not all of the apps work on the iPad. The analog clock does not appear when doing time. The app does not need to be updated, not sure why not all features work."
64UE, Purchased on accident from my child and i cant acford this 
18XR,I can't afford any paid products right now.
80EN,Doesn't show how to get the answer. Only places questions \n
17RX,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\n
84WW,Too much money at this time. Thank youuuuuuuuuuuuuuuuu
83KN,Uuuuuuuuuuuuuuuuuuuuuuuuuuuuuu is iuuuuuuuuuuuuu jjjjjjjj
88PX,Not good at this time for my son good at this time for my son 
65ET,Kids aren’t around enough to play the game as they only visit once every two months\n\n
62CL,"He doesn't practice that much time and difficult to put him on practice al, the time "
77VO,"Hi I want to cancel the subscription, Cox my son he is not using any more and actually he don’t have time to play with splash maths and busy with his school activity and and the after school programme, so I don’t want to be charged anymore from my account anymore, please discontinue the subscription and thank you "
75WP,My child no longer uses Splash Math.
20UH,The subscription price is too high.
71CR,He is not hndersfanding the tooics well hef it moved on without him understanxing. 
38CJ,Not enough questions for each lesson. He was not understanding one thing yet it moved on without him knowing. So now hes stuck. 
67FS,He is not understanndinf the conceots. Yhey husy moce on without him. 
77BN,I can't afford any paid products right now.
63BW,Please cancel my subscription
59ES,I just wanted to check out some more apps before I pay $30.00 for a subscription.
77TR,Too expensive for us - we can’t afford $89 for an app.
74XO,I can't afford any paid products right now.
76ZX, My son set this up without me knowing.........................
87MP,I canceled this last week before the charge. Please cancel and refund my money. Thank you!
65MN,Not used by students enough to justify monthly subscription 
83DF,The price it to much for the app. Im canceling within one week so i am not charged for the yearly subscription. 
57XE,The subscription price is too high.
86IZ,My child no longer uses Splash Math.
62SA,In 5th grade xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x
40EY,My daugthter is having a private tutor for this time.\nIt is a nice appt. thanks 
