id,Tag,message
87CF,Content,WaS too easy on my daughter did not enjoy it. It would be really great if you could they have problem-solving in a sentence not only the formulas
16FM,Ignore,I accidentally click subscription. I want to cancel whole year one that is till next year 11/9/2019. I want to unsubscribe this at all and get my money \n
66SW,Budget Sensitive,"No comments, \nI can’t afford to pay the Application’s monthly fee.\nThank you for your service"
35ZV,Competitor,Found a cheaper learning application. I think that $7.99 a month is a little to much.
79NF,Issues,Too much money after subscription and the visual design is too much.
21CF,Content,"I was hoping the multiplication has invidual So, my son has some weakest or whatever that he has to pratice what number he can study to choose"
31DE,Issues,Trying to get kids off screens more. They zone out too much.
42UH,Ignore,Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
38MW,No Engagement,Daughter doesn’t like\n                                                         \n\n\n
26ZN,Issues,I tried to cancel but was charged anyways. Now my bank account is negative with a nsf charge.\n\n
76QN,Issues,The game is great which attracted the attention and interest for math_but the awards is too little and simple for them and they will have not enough passion on this game.
28KS,Issues,"The game is great, it catches kid’s attention and interest for math, while the awards was unpredicted and was too simple which is not attractive enough for them to continually do the math games.\n"
58OM,School Free App,My daughter has a school account with iReady and will not be using this app anymore.  Thank you
34OK,Ignore,Wwwwwisjfhhduejdjdbhdkekkwjwbebbdwkkwkendjddbdhjekekndhdhejjdkdkd
88BW,Ignore,I ificiidicuxididifiigigugugugugiigigigigiigiififiuxifidiuzduififiiififiigkgigitiffiidififiif
53PT,Competitor,I have decided to use a different program for math.
13YO,School Free App,Not being used using school application............................
68YH,Issues,Not interested in the price of the app and not interested in the app itself
75EV,Content,Don’t need it anymore children don’t like it find a free learning app
85TC,School Free App,We do not need this due to fact that his school provides very muchthe same for free and donot want it. Thanks
30BQ,No Engagement,My child is not using it often enough for the cost of the app.
24DH,Ignore,Gfft fgc fhrgg fhdgr fhcgdg dgdgrg dgdgx dyfhdg dydffg sgdhbg guhnjh chchfhc gjchtjfj fyghgj. Gjghhjvb ghggf thgvh. Ghhhcb gvhfhc fhdygb ctcgbch ghucdfgcchfgc hvyfufb. Gvrhchicf fbdgdhv fvhfhcgg dbguchtgb. Gv hbbfhcgj. Vgvvfvdhvxvgb gvdvfhvbc tcgfhcbcb. Hvgfghfnnrfb frhd. Dvu
79ZY,Content,Not for us. My kids seemed uninterested. We are to busy. Going to try something else.
60NE,No Engagement,Please cancel my subcription. Iam not interest in the app anymore. Thank you
84JX,No Engagement,I don’t like itjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj
39KR,Ignore,"Dhdhdhdjdjxkx,x,x,nnnbbbhjjjjjjdkdjdjdjddjdjd jfjffkfkdmd,d,,d"
43AK,No Engagement,Do not use enough and i do not want to spend the money paying for it when it is not being used
26VR,Alternates,Not sure yet if I want my child to have this much screentime
80WH,Content,Not helping my son enough. Too advanced for him. Looking for basic multiplication practice
93WO,No Engagement,"I don’t know how my subscription got renewed today. In the past, my kids didn’t use the program enough to justify the price of the subscription."
91LA,Content,Its a great app! Very good info . Just after a while my son is over it. Its not interactive or fun enough. Now that school started he looks at it like a test and not fun work .
85EI,Ignore,Nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
76MS,Content,Too expensive for me at this time and needs more hard questions \n
82ST,Content,"Cancell Cancell Cancell Cancell Cancell subscrip now.  We just got charged for this month (09-07-2018) after i cancelled subscription last month.   My daughter is no longer interested with this app splash math.   She is back to school can no longer  use splash math,  on top of all our reason to cancell it is expensive.  Please cancell subscription 09-07-2018"
69MO,Budget Sensitive,Too expensive. (Why do I need to have a minimum of 50 characters?)
92OU,Time,"The program is No longer needed, school has started. Thanks\n\n"
49VH,Ignore,Please cancel .\nWe didn’t use this app but it already paid 2days ago automatically.\nPlease cancel it.
20DW,Budget Sensitive,"My daughter loves this, but It is too expensive. \n"
52XC,No Engagement,My son refused to use the program everyday and don’t want to pay for something he’s not going to use. Looked like a great program though
32HB,Ignore,Bought on accident. I do not want this app. Oooooooooooooooooooooooooooooooooooooooooooooo
26NX,Budget Sensitive,Cancel now too expensive for kids app. Cancel now too expensive for kids app. Cancel now too expensive for kids app.
63YG,Budget Sensitive,Cancel now too expensive for kids app. Cancel now too expensive for kids app. Cancel now too expensive for kids app. Cancel now too expensive for kids app.
37WW,Budget Sensitive,Needs free version! \nNeeds longer than 1 week trial.
40GG,Issues,I put in the wrong information so i need to re starg the application
13KR,Competitor,"Not using this app. Prefer reflex math................"".............\n\n\n\n"
86TU,No Engagement,Never used the product. Please credit recent subscription.
74MY,No Engagement,We Do not use this app enough..Thank you .........................
50YF,Ignore,"I should not have to give you a reason in order to cancel this, I resent that you are forcing me to type something and making it difficult to cancel."
58QO,Budget Sensitive,N.                                               Very costly for me to keep it up
43MB,Ignore,This app was being auto renewed with no notification to the parent who approved the initial purchase.  This account is set up as a family group with app sharing and requires parental approval...however the auto renew feature does not inform the parent or provide for the opportunity to resubscribe or cancel.  The monthly email alert only goes to the child’s email rather than another email to the parent or authorized member for purchases.  The child deleted the app many moths ago and wasn’t even aware that they had a subscription.  We feel very mislead and are not interested in continuing.  We are also discussing with apple directly and would like a refund from the time the app was deleted.\n\n\n\n\n\n
79UK,No Engagement,Dont want it anymore bc my kid does t use it. Im not sure whybi hqve to explain myself bc i can quit you any time i want to shug.
11FB,Budget Sensitive,Cost to much money for us. My child doesn’t use it enough..  free programs out their that does the same thing
63UC,Content,To expensive for what it is and my child finds it boring
15LZ,Ignore,Ghgggggggggggggggggggggggggggggggggggggggjjjjjjjhhhhhhhhhhhhhhhhhhhhhhh
76KL,No Engagement,It’s not the right game for my son: it’s a good app just not working for out for us thanks have a great day.
24SR,Ignore,Jsjushbdidnsbhxudnzixnjejznxnejnzbxenz jejduendjn neuehxhd hxudhwuyxx hxhuesjb x h hdheiu hdbwi
82UC,No Engagement,Dont need it anymore.  Need to csncel right now because not needed anymore.  No more need.
58LX,Budget Sensitive,Too expensive for us right now but hoping to get approval soon to buy it for a year \n
57BT,Budget Sensitive,Too expensive for us right now but hoping to get approval soon to buy it for a year \n
94YO,Issues,Wanting different math fact practice. More repitition.
49MS,Budget Sensitive,.............\nToo expensive\n..............\nIts also very frustrating that I have to write a minimum of 50 characters right now so that I can cancel.
89JA,Budget Sensitive,Not worth the money\nAnd my son who is 11 wasn’t that into it. May be better for younger ages but still too expensive with all the free apps out there
75BA,Issues,Too expensive for endlessly repeating questions\nNot a good app many errors freezes
34FG,No Engagement,Don’t use it. Our son doesn’t like the app. We are financially strapped and don’t have money to spend on an app our son doesn’t spend.\n
89HU,Issues,Daughter doesnt play and is uninterested. Never emailed me on her progress when she did use.
83RB,Budget Sensitive,"I cant afford it. Pretty good program, but i cant just cant fit it in my budget."
83KA,Competitor,We just choose another application. No need it. Thanks.
84FV,Ignore,Please cancel please cancel please cancel please cancel my auto month renewal
73LR,Plan Issues,Not enough trial time to decide if it is worth the price
20UZ,Ignore,Don’t want the app please cancel and don’t take the money
80CC,Ignore,made error xxxxxxxxx xxxxxx xxxxxx xxxxx\n Xxxx\nX\nXxxxx
30NW,Ignore,Have I cancelled it yet? Zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz\n\n
53XP,School Free App,She is doing very well with the school aids i have.
27XM,School Free App,Do not need.  She is doing very well with the school aids i have.
80SC,No Engagement,"Not used at this time, will resubscribe at a later time."
99PR,Budget Sensitive,Money issues cant pay for it at time...............
80LG,Ignore,Eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeedd
36LE,No Engagement,We do not use this game so there is no need for us to pay for a subscription.
58XG,No Engagement,Child no longer plays this app. Barely uses it weekly.
54CO,Budget Sensitive,Dont use app enough to warrant the cost. Mom wont pay for it
98GR,Budget Sensitive,The program is too expensive for a three month subscription.
22WL,Ignore,Piooiyfcezboyufrezbuoyftzbyouftrzozbrtoyfizznrtouifznfrtoiuzfrotijzotrfz
99QF,School Free App,School started and we get math apps from my daughters teacher.
73VP,Budget Sensitive,It’s too expensive monthly but was ok...... was ok the app
63HC,Budget Sensitive,"I wish was less expensive, we like but too much monthly"
74RN,Issues,Trying to cut down on screentime. Seriously. You want at least 50 characters?
49XZ,Content,My child is not interested. She gets annoyed by the hippo.
54IH,Content,My child is not interested. She gets annoyed by the hippo.
61VK,Issues,Thank you but not useful for my daughter in the fourth grade
94VP,No Engagement,Child does not use the program. Cost is too high.\n
90BR,Ignore,Txigcigciglxugoxufxkyfzjyfziyfzifyzkyfxkyxiyrxkyfziyfzkfzkyfzykfzkyfzkyfzkzyyk
13NF,Budget Sensitive,No fan of monthly charges!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
87QC,No Engagement,Kids dont really seem to care for it at all so i will no longer be needing the app
46YQ,No Engagement,"My kid likes art and activities related to that, so unfortunately I have to unsubscribe."
95US,Budget Sensitive,"the fee is very expensive, I can not make sure if this app can work when we move to another country."
10HJ,Issues,"We are going to move another country, I am not sure if this app could be used in there.\n"
46QK,Content,"Not enough variety, he was bored with the same type of questions."
18UE,Budget Sensitive,It is too expensive for an app. It is also stupid to have to give 50 characters for this.
45TG,Budget Sensitive,I used this app for class and do not have the money to continue it.
98ST,Budget Sensitive,I used this app for class and do not have the money to continue it.
47FL,No Engagement,My child does not use this app anymore. No longer needed.
58PH,Budget Sensitive,Too expensive!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
74QV,No Engagement,Not using the app not using the app not uaing the app
69SA,Content,Not applicable to UK curriculum\n\nThank you\n\nAaaaaaaaaaaaaaaaaa\n
36FO,No Engagement,He was not interested in playing.  I did like it though.
42OX,Alternates,Dont use it. Has a good teacher. Dont need it. Please cancel
26MY,Issues,Dont like too young no directions on how todo stuffp
84PI,School Free App,Much too expensive. My daughters school requires Xtra Math so this is not feasible nor has she had time to use it. Pleass refund full amiynt as ut eas supposed to be.free trial
77YD,Budget Sensitive,I can pay monthly i dont have money no money no money
96QS,Ignore,Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
73HE,Budget Sensitive,I am not wanting to pay for a game app. I was under the impression this was a free trial.
13TJ,Issues,"I have no idea how much this is.   I downloaded for my granddaughter but as i was cheking details of purchase the screen  blanked.   When screen opemed, the game was loaded.   Domt want to pay a riduculous amout of money. Thanks"
72GU,Short Term,They love this site —  but I don’t want to pay for something my grandkids use twice a year.
21HA,Budget Sensitive,It is too costly. Id continue if it was cheaper. The app is good for kids.
89NA,Ignore,DheheeheheeeeDdemdmdmjeiwii:emdnncncncnjdnwnwnnnndjdjjdddds
87AY,No Engagement,we no longer use this app for math and would like to cancel
61NP,No Engagement,Dont use it hdhehe shhdheh jsuudheyd duudhehe heheh dhhd hdbr dydb dv fbdbd. R r. Rvd dvd r he d dbbdbd
74NL,Ignore,Please cancel please cancel as we have 2 account in splash math
78UA,Ignore,Cancel please we have two account on splash math. Thank yoy
91QL,Issues,It was great would be better if it cAn show them how to problem solve like how exactly you got the answer
93VG,Trial,"Just wanted to try the free trial  , I expect to comeback and make a full purchase"
64HK,Budget Sensitive,Price is high qwertyuioplkjhgfdsazxcvbn qwertyuioplkjhgfdsazxcvbn\n
63FM,No Engagement,"Hi we have used the app this is not what the kids like, therefore we want to cancel it."
64VW,Competitor,Using different program this year for all subjects
76MU,Budget Sensitive,She did not used the app so i waisted my money.\nI dont want to pay for something she is not using\nThank you
46YT,Content,We fony likeit its do boring myson didtlikeit he dont understand
41SX,Budget Sensitive,Price too high. Price too high. Price too high. Please cancel. Price too high. Pircei high. Price too high. Price too high
17DL,Budget Sensitive,Too much money to spend on one product cannot afford the much right now
88SD,No Engagement,Do not use the app any longer.....................................
71PI,Budget Sensitive,"Too expensive for us every month................""........................"
29FB,Time,To much money and back in school so no use for it anymore
69GM,No Engagement,Just dont want to subsribe to this anymore ! Wanted afree triAl thanks soo much
42OK,Ignore,Guibjbih knih igihihih higigugug bigig iviguyi igigig igigikmonlk moj
30OF,Time,Too busy with schoolwork and activities right now - maybe later
25GL,Content,"Kids are not using it enough, the interest and fun factor is low for my kids."
51GL,Budget Sensitive,No money to pay at this time we cannot afford it. It is not being used as well.
24UT,No Engagement,My daughter she doesnt like it much. And I dont want to $9.99 every month.  Please cancel my subscription. Thanks
60YL,No Engagement,I just want to cancel. My daughter doesnt like it. And dont want to pay $9.99 a month. Thank you!
19KV,Budget Sensitive,I think its to much charge for this app. I can look for something less expensive .. yall took out of my account on the day it was suppose to be my last day of free trial.
97NA,Competitor,Found another site to have my child learn games that is not as high ofba charge something that i can afford
51GG,Budget Sensitive,Too much money.     Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
43KT,Budget Sensitive,it is too expensive right now. Not able to afford at this time.
61RY,Budget Sensitive,"Too expensive, I thought there are other options available \n"
53NY,No Engagement,She is not using it so we will cancel. We liked it \n
69CK,Budget Sensitive,"$5 per month will be affordble, like to continue the subscription if the fee can be reduced to around $5."
37VX,No Engagement,Dont use........................................................
28YU,Content,My kid was bored. App doesn't adjust and get harder.
23QD,Budget Sensitive,Too expensive for me to justify the money for this particulate app
66QN,Ignore,Dydyahdduehehsusuddushsusysysysyddysydydydyssucudusuducdusudududdu
75UU,Ignore,Dagfedsfefwffwgfefegwgwgwgwgwhwhehebebebebwbbwbfwggwgwgwgwgwgegehebhehehhehehehehehehhehe
82CI,Ignore,Please delete. I dont like this app and it costs too much money. This is the worst app in the app store. I almost killed myself after using this app and i got dumber while doing so
51SX,Ignore,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
50YC,Budget Sensitive,Too expensive and my child does not use often enough
57ZH,Ignore,Too early for my child \nI might be back when she is old enough
80XR,Ignore,Daaaaaaaaaaaaaaaaaacadfgjjhjghjkhfdhjkhhhhhhhjjjjjj
64PP,School Free App,"School uses a different math computer learning program , so no time or need for Splah Math."
53BU,Ignore,...hahahagejsngagajdjd whaiehenwkebdbdbhshshsjsihsbsj
82IQ,Budget Sensitive,To expensive for a subscription for a kids learning app.
89RR,Budget Sensitive,Not enough games for her to learn from and not enough interaction plus we need to cut costs\n\n
69AC,Ignore,Bb bbbbbbbbbbbbbbbbbbbbb.        Bvvvvbv bbbbbgffguyb dxghhbgfr.
84KR,Budget Sensitive,I just dont want to pay this much for an app. Good app though
56RJ,Ignore,Dont need it. H yvtxrxtvu ugfy yvyvyvyvyvyvyvygddrctvubububububuvyv
13DD,Ignore,jrvjfvvjfvnfvvfntvnfvnfvfnfhrvhrvnvrrvhvrrvbcGrjfgjthkyjkyhbgmg mt
52VD,No Engagement,We are not using the app frequently enough to warrant the subscription fee
79MW,Issues,You cant decide whar you want to practice like the ten times table for example
85PH,School Free App,"Hello\nMy kid school give me website for study , so i don’t need any more \nSplashmath,   \n             Thank you,"
65QM,Ignore,Noooooooooooo ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
20NB,Content,He didn’t really enjoy playing the games and lost interest.
94PM,Content,Not ready for this. Too advanced for my child. Not there yet
63JY,Content,Not english and my daughter found it boring. She wanted more games to play
71ZU,Ignore,Accidentally downloaded app twice and had already bought a subscription \n
76EI,No Engagement,"My kids don’t like it anymore\nThey said don’t want to p,ay"
35TQ,Competitor,No longer interested as we want to trying different app available and suggested by school
63ER,No Engagement,It's great we just haven't used it enough\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
92PL,Budget Sensitive,I need to cancel. I am needing to use the money that I will pay for this to buy food for my household
32LI,Budget Sensitive,Too expensive- better to have addition tables for eqch number
47BI,Ignore,Just want to cancel just want to cancel just want to cancel just want to cancel
75FM,Ignore,Just want to cancel just want to cancel Just want to cancel just want to cancel
75XJ,Content,Child not using it. It didn’t interest him. Xxxxxxxxxxxxxxxxxxxxxxxxxxx
47QD,Content,I wanted an app that could test him on multiplication and this is not it
79NU,Competitor,Found something else. Thank you .........................................
59YJ,Ignore,Dvdnfjfhr hrhrieke dhekdjfhf heiekdud idkehbfjt dhehtiotofoegrjfkt
58GF,Budget Sensitive,Cost too much money. Cant afford to pay that. Need a longer free trial to see if its worth it and see progress in my child
61DC,School Free App,School recommended another app and went with that app
83AF,Content,No reason other then going in a different direction. Please cancel thank you
74TB,Budget Sensitive,Too expensive at this time. Thank you. .............
78JA,Budget Sensitive,There is nothing wrong with this application.  I am just not willing to pay for it.
40OY,Budget Sensitive,Don't have the money. I would rather do a one time purchase. Not a subscription.
97NB,No Engagement,My son doesnt use it. Nothing wrong with the app. We would like to cancel
16LH,Content,"Too repetitive, she reports she knows it and it keeps asking thr same thing"
76XJ,No Engagement,We are not using during the trial aubscription. Sont want to pay if we do not use it.
67SS,School Free App,We no longer need this app. We are using a different math app from school.\n
52GL,Ignore,Stop making us enter 50 characters to cancel subscription
15BO,Budget Sensitive,Financial reasons...................................
24QH,Budget Sensitive,Because it is worthless and should have been cancelled a long time ago
52KB,Budget Sensitive,The cost seems too high for what the app can do and we just would not use it enough.
35IO,Budget Sensitive,Too expensive ddddddxsessseessddddddddddddddddddddddxxxxxddddddddxddddddddddddddx
77IR,Ignore,Dnd ieshshrirkshaheitisnahejrndkskwns sheue dien enebsebshenejeieksnwbw
41CT,Time,Child is too busy to use the app. Why do i need to write a minimum of 50 characters.
12SP,No Engagement,Not needed...........................................................::...................................:.:....::...............
35XT,Time,Got to many subsriptions at the moment . I would like to come back when i have enough
50BW,School Free App,Thank you. We have another app provided by the school that we use
84IG,No Engagement,The kids dont want to do the excersice. Pls cancel my subscription
43OD,School Free App,App access issued by school teacher at son’s school
25XM,No Engagement,We did not use it. Jakehfbdmakieurbdnwkwiiejejdjdjekkkdjdjfhfhhf
66NC,Ignore,Im not sure if were ready to pay this amount for home when he has access to the app at school
74VF,Budget Sensitive,This app is too costly  this app is too costly This app is too costly  this app is too costly This app is too costly  this app is too costly
